SID,misclass_percent,avg_pred_prob,confidence,UnusualnessScore
epp309,0.66,0.5956163,0.1912325999999999,12.108882213071889
epp322,0.16,0.74726605,0.4945321,13.27440877523224
epp340,0.38,0.5825918,0.1651835999999999,12.36253019993563
epp348,0.93,0.82968956,0.6593791200000001,14.267674739964866
epp350,0.34,0.61591756,0.2318351199999999,12.169964028670291
epp369,0.77,0.69205076,0.38410152,12.42854604164196
epp377,0.12,0.77692324,0.55384648,17.313911016420292
epp381,0.92,0.81959885,0.6391977,10.679468924454493
epp413,0.61,0.4500703,0.0998594000000001,13.164952058166218
epp421,0.56,0.47768542,0.0446291599999999,13.0119001151069
epp434,0.91,0.7634533,0.5269066,27.508511957040763
epp454,0.21,0.73172987,0.46345974,13.967420624929783
epp456,0.28,0.63342756,0.26685512,13.656914115267488
epp482,0.78,0.70136815,0.4027362999999999,12.436724848722175
epp508,0.13,0.7716257,0.5432513999999999,11.1221452615743
epp511,0.79,0.66619635,0.3323927,14.598055094470334
epp516,0.1,0.77221674,0.5444334799999999,16.395180997700045
epp549,0.51,0.5191615,0.0383230000000001,11.994964259173072
epp598,0.28,0.67613196,0.3522639199999999,16.137131859226972
epp601,0.27,0.37831727,0.2433654600000001,15.807653268598965
epp611,0.75,0.68954057,0.37908114,13.356526436042207
epp614,0.2,0.70755386,0.4151077199999999,14.470965597872546
epp625,0.17,0.7173153,0.4346306,12.244804712607914
epp634,0.13,0.7273766,0.4547532000000001,18.64275894975422
epp667,0.91,0.8027195,0.6054390000000001,12.679961529188429
epp668,0.35,0.5908375,0.181675,14.452951066131007
epp681,0.82,0.73145175,0.4629034999999999,14.287469469871954
epp684,0.02,0.8601856,0.7203712,20.121129925476183
epp691,0.89,0.79127634,0.58255268,10.393808110952085
epp723,0.16,0.70819545,0.4163908999999999,11.553806539820707
